playerID,SUM(b.H),SUM(b.HR),SUM(b.RBI),SUM(P.SO),AVG(P.ERA),inducted
paborch01,612,0,243,0,6.25,N
spaldal01,4291,14,2289,1136,2.3842856884002686,Y
wrighha01,888,16,444,112,3.824999988079071,Y
cummica01,1362,0,642,780,2.611666719118754,Y
bondto01,5181,0,1914,9669,2.9563636671413076,N
galvipu01,9384,85,3740,30702,3.001764746273265,Y
mcveyca01,3476,44,1792,441,4.412499904632568,N
wrighge01,1734,22,660,144,1.125,Y
barnero01,859,6,350,0,20.25,N
whitede01,4132,46,1954,60,4.5,Y
battijo01,878,6,286,12,3.5799999237060547,N
whitewi01,8130,30,3330,31230,2.8549999952316285,N
allisdo01,381,2,140,0,1.7999999523162842,N
wardjo01,14728,182,6069,15640,2.318571465356009,Y
broutda01,4592,212,2592,160,18.53500008583069,Y
richmle01,1572,18,678,3312,3.768333355585734,N
keefeti01,5850,180,2010,38430,2.8579999923706056,Y
kellyki01,12691,483,6650,72,3.3114285469055176,Y
stoveha01,5313,366,2724,112,13.5,N
welchmi01,6396,156,2626,24050,3.7330769025362454,Y
radboch01,6435,99,2849,21960,2.890909097411416,Y
willine01,8113,448,4669,91,6.285714285714286,N
clarkjo01,5616,312,3016,25714,3.0230769102389994,Y
comisch01,4590,87,2649,78,0.75,Y
ewingbu01,9750,426,5298,414,4.2083333532015486,Y
ansonca01,6836,194,4152,27,9,Y
orourji01,5286,124,2406,92,4.634999871253967,Y
dunlafr01,2318,82,732,28,9,N
glassja01,8160,108,3300,60,14.850000023841858,N
mccarto01,8976,264,4410,273,4.945000012715657,Y
odayha01,1240,8,368,5304,3.6437499970197678,Y
tennefr01,60,0,0,84,1.7199999690055847,N
richaha01,3376,140,1644,90,3.375,N
kilroma01,2360,10,1030,11700,4.0160000085830685,N
vanhage01,22788,621,9126,5058,4.866666714350383,N
dennyje01,1286,74,667,15,9,N
gleaski01,69984,540,29628,68448,4.441111087799072,N
rusieam01,4280,80,1760,19340,3.7210000276565554,Y
burkeje01,8550,225,2856,1344,6.356666723887126,Y
nichoki01,7536,256,4448,29888,3.4706249982118607,Y
youngcy01,14329,414,6670,64469,2.7139130416123765,Y
breitte01,3201,44,1386,9779,4.06000000780279,N
davisge01,2660,73,1437,80,15.75,Y
griffcl01,6741,168,3486,21010,3.31333335240682,Y
lowebo01,5787,213,2952,0,9,N
peitzhe01,3351,48,1680,48,7.426666736602783,N
tanneje01,11552,160,4512,30080,3.408125013113022,N
wallabo01,9236,136,4484,3000,3.1550000309944153,Y
frasech01,3525,45,1440,16470,3.455333360036214,N
seymocy01,10338,312,4794,10512,5.4116666714350385,N
bresnro01,3756,78,1590,270,3.3166666825612388,Y
dunnja01,10719,27,4428,5130,6.146666606267293,N
sparktu01,1183,0,533,10114,3.692307710647583,N
wadderu01,2408,56,1162,32424,2.9014285802841187,Y
altroni01,13968,288,3888,71400,4.182222214010027,N
dinnebi01,17082,78,4680,87906,3.173076941416814,N
donovbi01,22590,630,8370,139680,2.8272222214274936,N
leevesa01,2379,26,1014,11011,2.4761538413854747,N
willivi01,3224,13,1092,21463,2.681538435129019,Y
chesbja01,2604,60,984,15180,3.1983333925406137,Y
donlimi01,10256,408,4344,336,3.815000057220459,N
hahnno01,1032,16,416,7336,2.709999978542328,N
mcginjo01,2761,0,990,11748,2.6609091000123457,Y
phillde01,9620,156,4680,48308,3.583076917208158,N
mathech01,6516,126,2970,45036,2.6488888594839306,Y
